"free surface(time), created by Plot Digitizer, 2.6.8"
"Date: 07/08/17, 10:47:54"


36
time,free surface
0,0,
1.52824,0.205903,
2.57349,0.593599,
3.41114,0.900000,
4.50000,1.30000,
6,1.75000,
7.58740,2.22138,
8.52766,2.50000,
9.88595,2.99660,
10.7236,3.35000,
11.7764,4.34211,
12.4072,4.83379,
13.0300,4.75553,
14.1558,3.45923,
14.4548,2.52633,
15.1603,0.919515,
15.7680,-0.246805,
16.3837,-0.843188,
17.1108,-0.895630,
19.0959,-0.223773,
20.5542,-0.0436860,
22.5350,0.317296,
26.9132,1.09071,
29.8222,0.906854,
32.9400,0.774629,
37.6146,0.433807,
39.8004,0.587358,
43.1305,0.765829,
45.6286,0.945018,
49.1710,1.43418,
50.7311,1.45874,
53.3268,1.17153,
54.5746,1.17045,
56.0282,1.01376,
58.4213,1.11532,
60,0.803094,
