"fsd(t), created by Plot Digitizer, 2.6.8"
"Date: 15/08/17, 17:56:38"


61
t,fsd
0,0,
1,0.0657955,
2,0.118486,
3,0.457701,
4,0.850000,
5,1.20000,
6,1.55000,
7,1.90000,
8,2.25000,
9,2.50000,
10,2.80000,
11,3.10000,
12,3.90000,
13,4.80000,
14,4.46227,
15,2.25000,
16,-0.445254,
17,-1.65558,
18,-1.60000,
19,-0.820934,
20,-0.442656,
21,-0.259724,
22,-0.0767923,
23,0.132181,
24,0.419280,
25,0.706412,
26,0.811219,
27,0.720714,
28,0.630243,
29,0.656926,
30,0.683642,
31,0.762441,
32,0.776069,
33,0.685565,
34,0.582073,
35,0.504589,
36,0.466168,
37,0.440801,
38,0.493525,
39,0.468124,
40,0.455812,
41,0.456385,
42,0.404977,
43,0.509784,
44,0.627646,
45,0.693391,
46,0.811185,
47,0.942068,
48,1.08597,
49,1.19078,
50,1.26958,
51,1.38741,
52,1.45315,
53,1.45379,
54,1.38933,
55,1.31191,
56,1.29953,
57,1.27410,
58,1.18363,
59,1.04107,
60,1.00258,
