"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 16/08/17, 09:57:16"


61
X,Y
0,0,
1,0.100000,
2,0.300000,
3,0.650000,
4,1.05000,
5,1.35000,
6,1.65000,
7,1.95000,
8,2.25000,
9,2.55000,
10,2.90000,
11,3.50000,
12,4.50000,
13,4.85000,
14,3.90000,
15,1.55000,
16,-0.350000,
17,-1.05000,
18,-0.650000,
19,-0.300000,
20,-0.150000,
21,0.0500000,
22,0.180000,
23,0.350000,
24,0.530000,
25,0.740000,
26,0.960000,
27,1.10000,
28,1.05000,
29,0.950000,
30,0.900000,
31,0.840000,
32,0.800000,
33,0.750000,
34,0.700000,
35,0.630000,
36,0.550000,
37,0.490000,
38,0.495000,
39,0.550000,
40,0.610000,
41,0.630000,
42,0.650000,
43,0.710000,
44,0.820000,
45,0.880000,
46,1,
47,1.10000,
48,1.32000,
49,1.41000,
50,1.53000,
51,1.47000,
52,1.35000,
53,1.22000,
54,1.15000,
55,1.12000,
56,1.05000,
57,1.10000,
58,1.13000,
59,1.05000,
60,0.800000,
